relative_time,LinearAccelerometerSensor,AccX,AccY,AccZ
0,0.2683439502975198,,,
38,0.17691567258298008,-0.0690000057220459,8.718000411987305,4.068000316619873
78,0.23437616824812602,,,
113,0.5360682714417782,,,
114,0.3696124779944507,-0.37800002098083496,8.79900074005127,3.6820502281188965
156,0.20322237981716054,,,
189,0.36554635335057917,-0.2460000067949295,8.647950172424316,4.540950298309326
192,0.2987242748844222,,,
212,0.20704865832284455,,,
227,,,,4.43595027923584
228,,-0.04305000230669975,8.718000411987305,
232,0.15541490072707848,,,
251,0.15017746396411322,,,
273,0.11612985491074027,,,
292,0.1972812703037599,-0.13095000386238098,8.866050720214844,4.1610002517700195
312,0.06193544360092641,,,
332,0.16471223240107094,,,
352,0.16847768463461565,,,
357,,-0.3850500285625458,8.682000160217285,4.387950420379639
372,0.2155221458814234,,,
392,0.2662143900165312,,,
415,0.2285356349824319,,,
422,,-0.18900001049041748,8.803950309753418,4.069950103759766
432,0.10484913439789026,,,
453,0.3406072130721304,,,
474,0.41070113546039416,,,
487,,-0.2939999997615814,8.545949935913086,4.612950325012207
493,0.21653644281151388,,,
513,0.21537326236351564,,,
533,0.38803441282059975,,,
553,0.43195100559895167,-0.25095000863075256,8.71500015258789,3.9270002841949463
573,0.2880193730409841,,,
594,0.2179741981809893,,,
617,0.14582247920742436,,,
618,,-0.14100000262260437,8.809050559997559,4.228050231933594
633,0.21197362141928552,,,
654,0.26576305055736643,,,
673,0.16722101851507015,,,
684,,,,4.384050369262695
685,,0.08100000023841858,8.838000297546387,
693,0.3106230876180624,,,
713,0.28644620118314795,,,
734,0.33043486599551497,,,
749,,-0.361050009727478,9.177000045776367,4.342950344085693
753,0.5340052290153229,,,
773,0.8553400160545029,,,
793,1.33500875570162,,,
813,,,,5.190000057220459
814,,,10.294950485229492,
815,1.7779454145602338,-0.5790000557899475,,
833,2.43210670263467,,,
853,3.0333260574533023,,,
873,3.304115769009108,,,
878,,-0.6600000262260437,11.520000457763672,6.079950332641602
893,3.1259962401266788,,,
913,2.7705109105111334,,,
933,2.7943803114596344,,,
943,,,10.47705078125,6.142050266265869
944,,-0.3079500198364258,,
955,2.5392376179094187,,,
973,1.63047104283799,,,
993,0.7790020071721203,,,
1008,,-0.019050000235438347,8.896950721740723,3.80400013923645
1013,0.6646157596613738,,,
1034,0.9521007975862342,,,
1053,1.3522854673981761,,,
1073,,,,2.826000213623047
1074,1.6535246396646985,,7.773000240325928,
1078,,0.2650500237941742,,
1104,1.94486724782929,,,
1116,2.2424920171044853,,,
1133,2.3713526576558444,,,
1140,,-0.010950000956654549,7.368000507354736,1.2130500078201294
1153,2.5073480383940376,,,
1173,2.4719576700036834,,,
1194,2.5248411071941037,,,
1205,,0.14295001327991486,7.174050331115723,1.2439500093460083
1213,2.6832215607704386,,,
1233,2.9030762437354136,,,
1253,2.932878795721962,,,
1268,,,,0.531000018119812
1269,,,6.961050510406494,
1270,,0.30105000734329224,,
1276,3.1015880208923257,,,
1293,3.2863162212004338,,,
1313,3.451285722513819,,,
1333,,,,0.20100000500679016
1334,3.4033268976353077,0.14295001327991486,6.862950325012207,
1354,3.2857398423095416,,,
1374,3.018680585927964,,,
1393,2.7917290770733127,,,
1402,,0.44895002245903015,7.045050144195557,1.5670500993728638
1413,2.598956478222712,,,
1434,2.4615378964405146,,,
1454,2.170065146316537,,,
1463,,,,3.1300501823425293
1464,,0.8629500269889832,7.318050384521484,
1474,1.8470132043446021,,,
1494,1.6513160052452338,,,
1516,1.6196704913215416,,,
1529,,,,5.182950019836426
1530,,2.2699501514434814,7.969050407409668,
1534,1.6030276412103746,,,
1564,1.4265270216207986,,,
1577,1.3165628130713434,,,
